Gene1,Gene2,value
ENSG00000198727,ENSG00000063180,0.019825167
ENSG00000198763,ENSG00000063180,0.225645456
ENSG00000198786,ENSG00000063180,-0.082698488
ENSG00000198804,ENSG00000063180,-0.170311442
ENSG00000198840,ENSG00000063180,-0.010297999
ENSG00000198886,ENSG00000063180,0.067299093
ENSG00000198888,ENSG00000063180,0.058168783
ENSG00000198899,ENSG00000063180,0.0419844
ENSG00000198938,ENSG00000063180,0.143195687
ENSG00000212907,ENSG00000063180,0.10196635
ENSG00000214753,ENSG00000063180,0.483021613
ENSG00000228253,ENSG00000063180,0.107697769
ENSG00000229314,ENSG00000063180,-0.545469472
ENSG00000072778,ENSG00000067225,-0.12062109
ENSG00000074181,ENSG00000067225,0.018353798
ENSG00000079435,ENSG00000067225,0.075919514
ENSG00000082641,ENSG00000067225,-0.00400777
ENSG00000084234,ENSG00000067225,0.440105161
ENSG00000085063,ENSG00000067225,0.028606058
ENSG00000089597,ENSG00000067225,0.166878601
ENSG00000099365,ENSG00000067225,0.202258528
ENSG00000100234,ENSG00000067225,-0.183677393
ENSG00000101210,ENSG00000067225,0.405596127
ENSG00000101335,ENSG00000067225,-0.17363114
ENSG00000103034,ENSG00000067225,0.255137834
ENSG00000103257,ENSG00000067225,0.580246802
ENSG00000103495,ENSG00000067225,0.410027729
ENSG00000104852,ENSG00000067225,0.567792344
ENSG00000104879,ENSG00000067225,-0.361444704
ENSG00000104964,ENSG00000067225,0.306816406
ENSG00000105270,ENSG00000067225,0.174484613
ENSG00000105701,ENSG00000067225,0.181782622
ENSG00000106211,ENSG00000067225,0.002407668
ENSG00000108518,ENSG00000067225,0.121352261
ENSG00000109846,ENSG00000067225,-0.049862583
ENSG00000110955,ENSG00000067225,0.288651785
ENSG00000111245,ENSG00000067225,-0.28298134
ENSG00000111674,ENSG00000067225,0.38335931
ENSG00000111676,ENSG00000067225,0.377943225
ENSG00000122304,ENSG00000067225,0.084516744
ENSG00000129250,ENSG00000067225,-0.119459729
ENSG00000129538,ENSG00000067225,-0.376696802
ENSG00000130175,ENSG00000067225,0.266010836
ENSG00000130176,ENSG00000067225,-0.306175971
ENSG00000130522,ENSG00000067225,0.124382009
ENSG00000130726,ENSG00000067225,0.447790281
ENSG00000133392,ENSG00000067225,-0.242263211
ENSG00000135472,ENSG00000067225,0.14513475
